Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,297,297,0.931060606060606,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,297,297,0.9393939393939394,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,297,297,0.9227272727272727,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,330,330,0.9477272727272728,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,330,330,0.9424242424242424,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,330,330,0.9393939393939394,0.9962121212121212
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,1,0,0.09848484848484848,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,1,0,0.07954545454545454,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,1,0,0.07954545454545454,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,3,3,0.07954545454545454,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,3,3,0.10909090909090909,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,3,3,0.09924242424242424,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,7,6,0.3340909090909091,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,7,6,0.33560606060606063,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,7,6,0.07878787878787878,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,33,33,0.09924242424242424,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,33,33,0.19772727272727272,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,33,33,0.2727272727272727,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,66,66,0.48863636363636365,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,66,66,0.5795454545454546,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,66,66,0.23712121212121212,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,99,99,0.6068181818181818,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,99,99,0.7393939393939394,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,99,99,0.6803030303030303,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,132,132,0.8318181818181818,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,132,132,0.8196969696969697,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,132,132,0.7204545454545455,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,165,165,0.8106060606060606,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,165,165,0.865909090909091,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,165,165,0.7310606060606061,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,198,198,0.8613636363636363,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,198,198,0.8946969696969697,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,198,198,0.8962121212121212,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,231,230,0.921969696969697,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,231,230,0.9272727272727272,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,231,230,0.9053030303030303,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,264,264,0.9121212121212121,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,264,264,0.9212121212121213,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,264,264,0.8621212121212121,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,297,297,0.931060606060606,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,297,297,0.9325757575757576,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,297,297,0.8977272727272727,0.9863636363636363
0.5,1,Hydra-LSTM,Probabilistic CopycatCNN,330,330,0.946969696969697,0.9863636363636363
0.5,1,Hydra-LSTM,Argmax CopycatCNN,330,330,0.9522727272727273,0.9863636363636363
0.5,1,Hydra-LSTM,Adaptive KnockoffNets,330,330,0.8151515151515152,0.9863636363636363
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,1,0,0.10909090909090909,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,1,0,0.10909090909090909,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,1,0,0.10984848484848485,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,3,3,0.10378787878787879,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,3,3,0.11287878787878788,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,3,3,0.12878787878787878,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,7,6,0.09924242424242424,0.9977272727272727
